Current_Loan_Amount,Term,Credit_Score,Annual_Income,Years_in_current_job,Home_Ownership,Purpose,Monthly_Debt,Years_of_Credit_History,Months_since_last_delinquent,Number_of_Open_Accounts,Number_of_Credit_Problems,Current_Credit_Balance,Maximum_Open_Credit,Bankruptcies,Tax_Liens,ID,loan_default
204732,Short Term,712,743299,n/a,Rent,Debt Consolidation,12821.96,14.7,NA,7,0,187397,336402,0,0,679470,0
221144,Short Term,699,668458,1 year,Rent,other,3899.37,9,NA,9,0,88635,167970,0,0,679490,0
264572,Short Term,741,1770895,10+ years,Home Mortgage,Debt Consolidation,24349.64,10.1,NA,19,0,471903,1115114,0,0,679520,0
442574,Short Term,727,869801,5 years,Rent,Debt Consolidation,22107.26,12,NA,18,0,326648,646558,0,0,679570,0
211728,Short Term,739,541785,n/a,Rent,Debt Consolidation,10384.26,25,69,9,1,142747,888602,1,0,679580,0
366718,Short Term,717,1788432,3 years,Home Mortgage,Debt Consolidation,2101.4,22,29,5,0,98477,140250,0,0,679670,0
392150,Short Term,,,< 1 year,Home Mortgage,Debt Consolidation,36121.09,21,NA,21,0,634201,1958220,0,0,679680,0
781088,Long Term,687,2120096,2 years,Home Mortgage,Debt Consolidation,20140.95,21.3,29,8,0,239343,394768,0,0,679740,1
424358,Long Term,677,1643918,10+ years,Home Mortgage,Debt Consolidation,8205.72,16.5,NA,12,0,316198,546436,0,0,679790,0
155210,Short Term,747,1712869,7 years,Home Mortgage,Debt Consolidation,12118.58,18.9,4,10,0,232313,996292,0,0,679800,0
152900,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,41880.56,23.5,39,10,0,714856,948134,0,0,679870,0
750904,Short Term,689,1862323,< 1 year,Rent,Other,16295.54,17.5,33,7,1,108395,220968,1,0,679880,0
179938,Short Term,741,485640,10+ years,Rent,Debt Consolidation,7932.12,25.7,10,11,0,255455,510862,0,0,679900,0
262548,Short Term,725,1039262,10+ years,Home Mortgage,Debt Consolidation,18879.73,24.5,15,5,0,105165,148698,0,0,679910,0
96184,Short Term,706,1000559,10+ years,Home Mortgage,other,32434.52,14.6,36,14,0,514634,758120,0,0,679920,0
122716,Short Term,748,385396,10+ years,Rent,Business Loan,5909.38,14.1,NA,7,0,347225,631158,0,0,679970,0
86812,Short Term,750,900239,4 years,Home Mortgage,Home Improvements,2715.67,19.5,NA,9,0,153634,626340,0,0,680040,0
99999999,Short Term,727,755972,< 1 year,Rent,Debt Consolidation,12914.49,20.6,25,9,1,107274,221012,1,0,680050,0
99999999,Short Term,739,2079550,10+ years,Home Mortgage,Debt Consolidation,23048.33,17.7,42,9,0,344071,609180,0,0,680070,0
258698,Short Term,724,968145,10+ years,Home Mortgage,Debt Consolidation,17281.26,32,20,14,1,661618,901274,1,0,680140,0
99999999,Short Term,740,758556,2 years,Home Mortgage,Debt Consolidation,7206.32,20.2,65,7,0,208449,487608,0,0,680170,0
173426,Short Term,731,473499,2 years,Home Mortgage,Debt Consolidation,6944.69,8.4,53,5,0,46645,109736,0,0,680180,1
88682,Short Term,,,5 years,Home Mortgage,Debt Consolidation,13273.78,30.9,48,16,1,150252,410344,1,0,680310,0
299354,Long Term,702,862372,8 years,Home Mortgage,Debt Consolidation,9845.42,16.8,NA,12,1,120878,624844,1,0,680330,0
176836,Short Term,746,1036963,10+ years,Rent,Debt Consolidation,13566.76,16.1,37,9,1,119985,266156,1,0,680340,0
382844,Long Term,619,1299619,10+ years,Home Mortgage,Debt Consolidation,28808.18,16.3,77,14,1,201248,538164,1,0,680400,0
220132,Long Term,,,5 years,Home Mortgage,Debt Consolidation,10836.65,24.5,49,11,1,343748,525778,1,0,680410,0
62986,Short Term,730,675184,5 years,Home Mortgage,Buy a Car,9002.39,19.6,29,13,0,223744,627286,0,0,680450,0
135256,Short Term,747,778696,8 years,Own Home,Debt Consolidation,13367.64,14.7,NA,4,0,97204,205018,0,0,680460,1
197604,Short Term,740,777442,10+ years,Home Mortgage,other,13605.33,13.2,3,17,0,146452,473660,0,0,680470,0
517022,Long Term,723,1004663,10+ years,Home Mortgage,Debt Consolidation,24614.12,21.7,23,13,0,814625,1081718,0,0,680490,1
653796,Long Term,674,3952494,7 years,Home Mortgage,Debt Consolidation,60604.87,16.4,NA,8,0,1439592,1872904,0,0,680540,0
324698,Short Term,,,< 1 year,Rent,Debt Consolidation,11066.93,11.5,NA,15,0,207594,357170,0,0,680570,0
536140,Long Term,,,3 years,Home Mortgage,Debt Consolidation,23093.17,11,59,14,0,200678,442596,0,0,680580,0
359700,Long Term,720,1126130,10+ years,Home Mortgage,Debt Consolidation,18862.82,11.9,54,14,0,202008,535238,0,0,680610,0
99999999,Short Term,740,1129037,n/a,Home Mortgage,Debt Consolidation,26250.02,28.9,NA,11,0,275139,341462,0,0,680630,0
154660,Short Term,742,797715,10+ years,Home Mortgage,Other,9359.78,22.5,36,6,0,89015,255750,0,0,680670,0
488070,Long Term,708,1275831,8 years,Home Mortgage,Debt Consolidation,24985,12.6,37,12,0,601977,949630,0,0,680730,0
159148,Short Term,736,1622600,6 years,Rent,Debt Consolidation,20552.87,20.6,38,12,0,269078,647768,0,0,680790,1
469744,Long Term,,,4 years,Rent,Debt Consolidation,12255,12,NA,9,0,291726,448008,0,0,680810,1
654060,Long Term,670,2071190,4 years,Home Mortgage,Debt Consolidation,41596.51,15.6,8,12,0,10830,245828,0,0,680830,0
324280,Short Term,740,1166904,< 1 year,Rent,Debt Consolidation,14975.23,12.7,NA,8,0,185212,249348,0,0,680840,0
116138,Short Term,721,928720,1 year,Rent,Debt Consolidation,5758.14,16,15,9,1,88426,167860,1,0,680850,0
223124,Short Term,732,847875,10+ years,Rent,Debt Consolidation,13452.76,18.3,NA,9,1,193021,265452,1,0,680860,0
159896,Short Term,748,1356733,10+ years,Rent,Debt Consolidation,32346.93,19.4,NA,17,0,251085,1371392,0,0,680870,0
336864,Long Term,733,1260688,10+ years,Rent,Debt Consolidation,19225.53,14.5,NA,5,0,242231,435512,0,0,680900,0
325578,Long Term,660,974757,10+ years,Rent,Debt Consolidation,21769.63,21,22,14,0,140828,338316,0,0,680950,1
222816,Long Term,670,1885826,5 years,Home Mortgage,Debt Consolidation,36302.35,29.3,14,15,0,809780,1291510,0,0,681000,0
183326,Short Term,743,361418,n/a,Own Home,Debt Consolidation,4517.82,42.9,1,11,0,128896,567512,0,0,681040,1
99999999,Long Term,677,1042929,2 years,Own Home,Debt Consolidation,25725.62,10.6,NA,9,0,389861,512974,0,0,681060,0
542960,Long Term,699,1294223,3 years,Rent,Debt Consolidation,9846.94,6.4,NA,4,0,144115,208582,0,0,681170,0
266596,Short Term,736,834594,9 years,Home Mortgage,Debt Consolidation,7998.43,16.7,NA,11,0,170639,874280,0,0,681220,1
220550,Short Term,,,8 years,Home Mortgage,Debt Consolidation,16499.98,20.8,NA,10,0,232560,1027730,0,0,681250,0
99999999,Short Term,640,1037172,10+ years,Rent,Other,24805.45,12.6,NA,9,1,137180,216128,1,0,681260,0
310376,Short Term,693,1570521,10+ years,Own Home,Debt Consolidation,20940.28,26.5,31,19,1,118826,370876,1,0,681270,0
523028,Short Term,741,1656287,3 years,Home Mortgage,Debt Consolidation,27328.65,17,NA,13,0,287983,385946,0,0,681280,0
49720,Short Term,698,1087883,10+ years,Home Mortgage,Debt Consolidation,32726.93,16.7,NA,11,1,365028,698610,1,0,681290,0
119108,Short Term,681,789070,10+ years,Rent,Debt Consolidation,21370.44,27.9,79,9,0,152076,206690,0,0,681320,0
150150,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,9003.15,17,NA,6,0,137807,1156276,0,0,681330,0
78694,Short Term,704,415359,< 1 year,Rent,Debt Consolidation,10557.35,9.8,NA,6,0,258723,292842,0,0,681340,1
30954,Short Term,,,10+ years,Rent,other,18380.79,29.5,NA,7,1,21945,123948,1,0,681350,0
331628,Long Term,596,875273,10+ years,Home Mortgage,Debt Consolidation,14004.14,20.2,40,14,0,277875,531806,0,0,681410,0
392436,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,21182.72,16.2,NA,6,0,339074,457578,0,0,681540,0
333872,Short Term,720,961115,8 years,Home Mortgage,Debt Consolidation,14737.16,10.3,NA,11,0,179113,432080,0,0,681560,1
99999999,Short Term,730,850554,2 years,Rent,Other,9412.79,19.7,42,4,0,94316,186054,0,0,681580,0
370722,Short Term,686,1515592,10+ years,Home Mortgage,Debt Consolidation,23491.6,29.8,NA,21,1,332861,500544,1,0,681590,0
87626,Short Term,712,1172927,9 years,Rent,Debt Consolidation,13977.35,14,NA,16,0,442396,666138,0,0,681620,0
178134,Short Term,713,480757,7 years,Home Mortgage,Debt Consolidation,11698.11,9,NA,6,0,109174,213884,0,0,681630,0
222948,Short Term,,,3 years,Home Mortgage,Other,17208.87,21,NA,15,0,233377,1031426,0,0,681650,0
165528,Short Term,726,1372370,9 years,Home Mortgage,Debt Consolidation,14181.22,15.1,NA,12,0,123234,143396,0,0,681720,0
443564,Short Term,7320,1915390,10+ years,Home Mortgage,Debt Consolidation,21867.48,26.4,5,8,0,383534,488004,0,0,681780,1
87054,Short Term,747,1315769,5 years,Home Mortgage,other,23365.82,11.9,NA,7,0,134273,624360,0,0,681810,0
439208,Short Term,,,10+ years,Rent,Debt Consolidation,35948.19,13.5,29,12,0,376086,639474,0,0,681830,0
174482,Short Term,682,1113343,4 years,Rent,Debt Consolidation,15957.91,7.9,46,14,0,280934,551320,0,0,681850,0
158246,Short Term,732,2163834,< 1 year,Home Mortgage,Debt Consolidation,21854.75,16,NA,9,0,1545156,1936286,0,0,681880,1
263736,Long Term,726,1531248,10+ years,Home Mortgage,Debt Consolidation,29986.94,14.5,44,13,0,272631,709412,0,0,681900,1
220990,Long Term,720,1297814,9 years,Rent,Debt Consolidation,13843.21,32.1,29,9,0,203015,963380,0,0,681930,0
386848,Short Term,,,< 1 year,Home Mortgage,Home Improvements,24946.05,19.4,NA,15,0,90136,603262,0,0,681940,0
257752,Short Term,,,2 years,Home Mortgage,Debt Consolidation,15473.6,16.8,46,10,0,102923,130966,0,0,681950,0
317680,Long Term,679,763420,2 years,Own Home,Debt Consolidation,19848.92,21.7,6,6,3,84892,198990,1,2,681980,1
413952,Short Term,750,1655774,5 years,Home Mortgage,Home Improvements,26078.64,18,NA,10,0,122626,1463748,0,0,682040,0
430980,Short Term,687,1302735,10+ years,Own Home,Business Loan,30939.98,33.1,NA,10,0,607430,791142,0,0,682060,0
91872,Short Term,751,396682,3 years,Rent,Debt Consolidation,4459.49,16.5,NA,6,0,58159,708906,0,0,682070,0
108130,Short Term,714,672296,3 years,Home Mortgage,other,3938.51,6.7,NA,10,0,120612,343948,0,0,682110,0
347534,Short Term,717,1875870,5 years,Rent,Debt Consolidation,10598.58,18.5,69,8,0,232408,404052,0,0,682120,0
168938,Short Term,,,n/a,Rent,Debt Consolidation,14814.68,20.2,35,10,1,128668,240306,0,0,682140,0
103180,Short Term,709,891024,2 years,Rent,Medical Bills,1395.93,23.9,68,5,0,52858,120252,0,0,682150,0
313852,Long Term,691,2172099,7 years,Home Mortgage,Debt Consolidation,36744.67,20.3,37,14,0,280364,415140,0,0,682160,0
91278,Short Term,703,638115,2 years,Rent,Debt Consolidation,11167.06,11.1,26,9,0,100396,217272,0,0,682220,0
372086,Short Term,736,1209806,7 years,Home Mortgage,Debt Consolidation,18953.64,16.4,20,12,0,136876,216810,0,0,682230,0
390126,Long Term,714,770108,10+ years,Rent,Debt Consolidation,21113.94,15,NA,9,0,383724,568172,0,0,682290,0
201784,Short Term,741,929423,10+ years,Home Mortgage,Debt Consolidation,5034.43,19.5,NA,9,0,153102,219670,0,0,682330,0
232804,Short Term,729,928682,9 years,Home Mortgage,Debt Consolidation,12072.98,15.6,28,18,1,160056,399432,1,0,682340,1
297660,Short Term,742,1752750,10+ years,Home Mortgage,Debt Consolidation,38706.61,25.9,NA,13,0,654322,1479764,0,0,682430,1
128964,Short Term,748,1132343,10+ years,Rent,Other,14758.06,25.5,NA,12,0,280022,1480534,0,0,682490,0
457974,Long Term,720,2186748,10+ years,Home Mortgage,Debt Consolidation,29521.06,14.4,36,12,0,388531,462374,0,0,682600,0
265958,Long Term,670,1435545,10+ years,Rent,Debt Consolidation,22849.02,17,42,19,0,418741,567072,0,0,682620,0
138490,Short Term,721,489706,2 years,Rent,Debt Consolidation,4448.28,20.1,NA,6,0,161006,213796,0,0,682690,0
99999999,Long Term,742,1898005,10+ years,Own Home,Debt Consolidation,35587.38,32,23,21,0,2646567,8607984,0,0,682710,0
99999999,Short Term,716,1407330,3 years,Home Mortgage,Debt Consolidation,22517.28,22.3,NA,20,1,346503,905674,1,0,682740,0
253440,Short Term,724,804422,5 years,Home Mortgage,Debt Consolidation,9451.93,22.1,51,8,0,164179,340054,0,0,682870,0
143176,Short Term,725,676172,10+ years,Rent,Debt Consolidation,11495,21.1,NA,16,0,30799,339592,0,0,682950,0
624316,Long Term,719,1367221,10+ years,Home Mortgage,Debt Consolidation,18685.17,16.6,24,11,0,218443,557128,0,0,682980,1
99999999,Short Term,695,785935,10+ years,Rent,Debt Consolidation,11199.55,9.2,NA,6,0,159828,328724,0,0,682990,0
80190,Short Term,727,538707,4 years,Rent,Debt Consolidation,3887.78,10.4,NA,6,0,122531,222728,0,0,683020,1
22220,Short Term,695,287964,1 year,Rent,Debt Consolidation,3023.66,25.5,55,8,0,6251,157542,0,0,683030,0
156948,Short Term,727,3098064,4 years,Home Mortgage,Home Improvements,35369.64,28.4,NA,21,0,252890,611336,0,0,683040,0
269500,Short Term,732,1163712,5 years,Rent,Debt Consolidation,15807.05,14.3,74,7,0,166991,623744,0,0,683060,1
99999999,Long Term,736,982471,10+ years,Home Mortgage,Debt Consolidation,22105.55,20.5,NA,18,0,510530,1470480,0,0,683070,0
454608,Long Term,696,892791,< 1 year,Rent,Debt Consolidation,22765.99,16.1,NA,8,0,228361,301840,0,0,683080,0
99999999,Short Term,702,2379503,< 1 year,Rent,Other,14990.81,12.5,NA,9,0,66462,139172,0,0,683110,0
303842,Short Term,,,3 years,Home Mortgage,Home Improvements,17248.77,15.4,NA,12,0,469186,1196646,0,0,683120,0
137918,Short Term,720,557194,6 years,Rent,Other,8645.95,17.9,45,13,0,151164,393338,0,0,683150,0
395120,Short Term,742,3791640,2 years,Home Mortgage,Debt Consolidation,60982.21,17.8,43,12,0,339682,682836,0,0,683170,0
99999999,Short Term,741,1848966,8 years,Rent,Debt Consolidation,9861.19,20.5,NA,7,0,122512,209836,0,0,683210,0
134618,Short Term,,,n/a,Rent,Debt Consolidation,4069.8,16.2,15,9,0,61275,110352,0,0,683220,1
99999999,Short Term,746,818501,6 years,Rent,Other,5913.75,11.8,NA,6,0,54511,283030,0,0,683260,0
132286,Short Term,743,1904180,< 1 year,Home Mortgage,Debt Consolidation,14932.1,13.7,NA,13,1,147972,420970,1,0,683370,0
613140,Long Term,691,1398153,6 years,Rent,Debt Consolidation,28662.26,13,72,13,0,207822,482240,0,0,683390,0
284438,Long Term,700,1494958,2 years,Home Mortgage,Home Improvements,17565.88,22.1,29,12,1,125609,193930,1,0,683410,0
65516,Short Term,747,999457,2 years,Rent,Debt Consolidation,9411.46,21.7,NA,4,0,13623,492668,0,0,683430,0
99999999,Short Term,611,1996995,9 years,Rent,other,26626.6,19.8,30,10,0,412775,504152,0,0,683470,0
99999999,Short Term,719,912912,10+ years,Rent,Debt Consolidation,3636.41,10.3,63,8,0,73188,231550,0,0,683540,0
219274,Short Term,726,1325611,4 years,Rent,Debt Consolidation,22314.36,10,NA,11,0,314735,594528,0,0,683580,0
346610,Short Term,740,1403207,10+ years,Home Mortgage,Debt Consolidation,38704.9,26,NA,26,0,537681,1316238,0,0,683600,0
396154,Long Term,724,760703,4 years,Own Home,Debt Consolidation,13565.81,23.2,NA,15,0,392255,1795178,0,0,683610,0
449020,Short Term,691,1027653,6 years,Rent,Debt Consolidation,18326.45,17.4,NA,10,0,319162,392744,0,0,683640,0
510950,Short Term,,,6 years,Home Mortgage,Debt Consolidation,27180.45,22,NA,14,0,465348,893552,0,0,683670,0
386738,Long Term,729,1391655,10+ years,Home Mortgage,Debt Consolidation,24122.02,26.5,5,10,0,215536,1039874,0,0,683700,0
151140,Short Term,693,388170,< 1 year,Rent,other,5046.21,13,35,6,0,170449,285604,0,0,683710,0
525580,Short Term,,,1 year,Home Mortgage,Debt Consolidation,57683.43,22.5,44,14,0,695457,1175570,0,0,683740,0
131912,Short Term,,,9 years,Home Mortgage,Debt Consolidation,5655.35,12.5,22,16,0,130150,717596,0,0,683770,0
121902,Short Term,724,612503,5 years,Home Mortgage,Home Improvements,8064.55,16.7,60,9,1,74119,254650,1,0,683820,0
469480,Short Term,742,3591247,10+ years,Rent,Debt Consolidation,21427.82,20.5,60,13,0,268831,727254,0,0,683830,0
228008,Short Term,,,n/a,Home Mortgage,Debt Consolidation,6164.17,35.9,39,13,1,177403,360360,1,0,683850,0
99999999,Short Term,739,964820,7 years,Rent,Debt Consolidation,18009.91,13.8,NA,15,0,165110,477994,0,0,683960,0
254408,Short Term,740,1223277,2 years,Home Mortgage,Debt Consolidation,17737.45,12.3,29,13,0,368714,597102,0,0,683970,0
99999999,Short Term,741,2032715,10+ years,Home Mortgage,Debt Consolidation,12399.59,19.6,NA,6,0,36461,43604,0,0,684050,0
99999999,Short Term,750,3110224,7 years,Home Mortgage,Debt Consolidation,46912.52,17.1,NA,13,0,1699113,3590158,0,0,684060,0
139942,Short Term,724,1394505,10+ years,Own Home,Other,14991,16,NA,9,0,222699,312180,0,0,684170,0
209352,Short Term,748,708016,6 years,Rent,other,7699.75,19.8,34,21,0,145027,2099152,0,0,684190,0
216172,Long Term,739,1250846,10+ years,Rent,Home Improvements,4242.51,10.5,NA,5,0,212154,923538,0,0,684240,0
672254,Short Term,,,10+ years,Home Mortgage,Debt Consolidation,62429.25,22.7,NA,12,0,898035,1789722,0,0,684370,0
99999999,Long Term,730,815803,3 years,Home Mortgage,Debt Consolidation,17063.71,19.2,NA,7,0,760190,1001374,0,0,684450,0
447084,Short Term,721,1351413,10+ years,Home Mortgage,Debt Consolidation,34686.4,16,43,16,0,373844,764786,0,0,684480,0
129470,Short Term,728,745408,4 years,Home Mortgage,Debt Consolidation,12361.21,8,NA,5,0,103113,125158,0,0,684490,0
435072,Long Term,656,1221168,10+ years,Home Mortgage,Debt Consolidation,23710.86,14,10,20,0,62339,89210,0,0,684560,0
356400,Long Term,652,1337011,6 years,Home Mortgage,Debt Consolidation,27743.04,18.5,NA,10,1,210767,280500,1,0,684580,0
187132,Short Term,743,1192839,10+ years,Own Home,Debt Consolidation,28926.36,45,7,15,0,178923,349954,0,0,684640,0
214654,Long Term,7060,1339956,6 years,Own Home,Home Improvements,2635.3,9,NA,3,0,798,102564,0,0,684700,1
66704,Short Term,708,1286490,7 years,HaveMortgage,Take a Trip,26373.14,13.8,56,11,0,376067,657778,0,0,684720,0
322696,Long Term,643,797601,8 years,Home Mortgage,Debt Consolidation,8374.82,17,23,5,0,393091,461626,0,0,684750,1
436590,Long Term,708,3245504,10+ years,Home Mortgage,Debt Consolidation,55714.46,24,NA,13,0,751203,1169102,0,0,684770,0
193732,Long Term,694,778164,2 years,Rent,Debt Consolidation,11607.67,15.2,NA,16,0,214073,398508,0,0,684790,0
99999999,Short Term,746,2070354,10+ years,Rent,Debt Consolidation,29502.63,20.3,NA,13,0,974643,1225334,0,0,684800,0
528000,Short Term,723,1269504,10+ years,Home Mortgage,Debt Consolidation,33430.31,26.6,NA,23,0,1322267,2278342,0,0,684870,1
541860,Long Term,719,1123128,10+ years,Home Mortgage,Debt Consolidation,18812.47,22.1,NA,7,0,386384,563442,0,0,684890,1
584254,Long Term,724,1126681,10+ years,Home Mortgage,Debt Consolidation,26101.63,20.7,NA,12,0,571748,1018512,0,0,684900,0
400664,Short Term,,,2 years,Home Mortgage,Debt Consolidation,26311.77,41.2,47,12,0,987183,1205754,0,0,684920,1
174768,Short Term,707,1509360,8 years,Home Mortgage,Debt Consolidation,26464.15,14.6,NA,12,0,162203,251746,0,0,684930,0
216942,Short Term,7170,1011731,10+ years,Rent,Take a Trip,21499.45,12.2,43,9,0,227601,375408,0,0,684980,1
99999999,Short Term,733,978310,10+ years,Home Mortgage,Debt Consolidation,23316.42,17,4,19,0,232579,993718,0,0,684990,0
107426,Short Term,729,742216,1 year,Own Home,Debt Consolidation,12432.08,13.5,19,8,0,51376,240878,0,0,685020,0
222398,Short Term,713,576213,3 years,Rent,Debt Consolidation,15509.7,15.2,30,7,0,184281,280368,0,0,685040,0
220660,Short Term,718,762280,4 years,Rent,Debt Consolidation,6542.84,6.5,NA,6,0,58824,227062,0,0,685050,1
278388,Short Term,718,2739572,10+ years,Home Mortgage,Debt Consolidation,20934.77,13.8,59,12,0,129219,293370,0,0,685150,0
99999999,Short Term,737,928720,10+ years,Rent,Debt Consolidation,24688.6,26.5,NA,11,1,122056,279862,1,0,685160,0
107470,Short Term,721,1188032,10+ years,Own Home,Debt Consolidation,24255.78,18.2,74,19,0,300010,640926,0,0,685270,0
559570,Long Term,742,2134555,10+ years,Home Mortgage,other,19744.61,18,NA,7,0,3990,1152712,0,0,685280,0
539660,Short Term,747,1565999,8 years,Own Home,other,24886.2,18.5,NA,16,0,499643,1442738,0,0,685320,0
260084,Short Term,739,2246256,8 years,Rent,Debt Consolidation,12092.36,20.2,27,10,0,396796,565840,0,0,685370,0
349536,Long Term,695,2537241,3 years,Home Mortgage,Debt Consolidation,22412.21,11.8,69,16,0,650997,935220,0,0,685390,1
179146,Short Term,737,1450517,2 years,Home Mortgage,Debt Consolidation,3408.6,13.3,NA,6,1,141683,233024,1,0,685410,0
176748,Short Term,745,1786038,6 years,Home Mortgage,Debt Consolidation,8736.77,13.4,NA,7,1,131955,254210,1,0,685430,0
499642,Short Term,733,1286965,1 year,Home Mortgage,Debt Consolidation,14800.05,19.9,NA,9,0,550981,758604,0,0,685460,1
137764,Short Term,724,933185,7 years,Rent,Debt Consolidation,15241.99,38.7,78,11,0,158897,235576,0,0,685470,1
99999999,Long Term,687,953496,9 years,Home Mortgage,Debt Consolidation,8430.68,16,82,9,0,110979,163064,0,0,685480,0
217206,Short Term,741,2063457,4 years,Home Mortgage,Home Improvements,26824.96,18,36,13,0,1305167,1935032,0,0,685500,0
99999999,Long Term,737,2176488,2 years,Home Mortgage,Debt Consolidation,16287.18,15,NA,9,0,146281,664224,0,0,685580,0
326744,Long Term,,,5 years,Rent,Debt Consolidation,24756.43,11.4,NA,21,1,182115,425150,1,0,685600,1
754908,Short Term,701,1732363,8 years,Home Mortgage,Debt Consolidation,42154.35,27.4,37,36,1,629033,1249336,0,0,685660,0
261228,Short Term,747,2350072,10+ years,Home Mortgage,Debt Consolidation,38854.43,18.5,44,16,0,172691,1030656,0,0,685670,1
141240,Short Term,682,1201047,10+ years,Rent,Medical Bills,26923.38,11.6,NA,9,0,275595,432410,0,0,685710,0
223102,Short Term,724,1074564,6 years,Home Mortgage,Debt Consolidation,27938.55,18,6,8,0,191406,212300,0,0,685720,1
175516,Short Term,735,1048667,1 year,Rent,Debt Consolidation,8083.36,4.9,NA,5,0,1900,245300,0,0,685770,0
99999999,Short Term,748,581058,10+ years,Home Mortgage,Business Loan,11233.75,21.7,NA,8,0,324900,793694,0,0,685850,0
313984,Short Term,745,953781,10+ years,Home Mortgage,Debt Consolidation,8743.04,24,47,12,0,27322,1020558,0,0,685870,0
428758,Long Term,,,9 years,Rent,Debt Consolidation,6220.41,17.6,13,16,2,108053,561000,1,1,685880,1
222134,Long Term,720,1151058,3 years,Home Mortgage,Debt Consolidation,15443.39,15.6,3,15,0,303088,1647646,0,0,685890,0
99999999,Long Term,671,822624,2 years,Rent,Debt Consolidation,16452.48,15.2,20,11,0,305596,463166,0,0,685910,0
312774,Short Term,743,1338645,< 1 year,Rent,Debt Consolidation,21306.79,16.2,NA,17,0,252472,414084,0,0,685950,0
131626,Short Term,742,466811,10+ years,Own Home,Debt Consolidation,10619.67,21.3,8,8,1,70471,131626,1,0,685960,0
99999999,Short Term,718,2649892,8 years,Rent,Debt Consolidation,29369.63,14.1,8,9,0,102714,140272,0,0,686020,0
65780,Short Term,7210,927922,5 years,Rent,Debt Consolidation,16393.39,18.3,61,9,2,170221,289432,0,2,686070,1
204292,Short Term,712,1917860,8 years,Home Mortgage,Debt Consolidation,6824.23,10.3,NA,8,0,53846,102212,0,0,686110,0
145750,Short Term,716,774668,1 year,Rent,Debt Consolidation,11878.23,10.7,NA,9,0,124203,257730,0,0,686120,0
112178,Short Term,727,1088168,3 years,Home Mortgage,Debt Consolidation,17592.1,15.9,52,11,0,241775,397078,0,0,686170,0
99999999,Short Term,715,1642303,10+ years,Rent,Debt Consolidation,41878.47,18,NA,22,0,401565,756052,0,0,686180,0
326238,Short Term,741,1634152,7 years,Home Mortgage,Business Loan,16355.2,59.9,NA,9,1,86602,211112,1,0,686270,0
313786,Short Term,742,1548576,9 years,Rent,Debt Consolidation,41037.34,29.9,NA,24,0,806949,2452384,0,0,686320,0
368280,Long Term,716,1305794,2 years,Home Mortgage,Debt Consolidation,32209.56,41.2,21,14,0,407075,726264,0,0,686330,0
143814,Short Term,726,1940660,10+ years,Rent,Debt Consolidation,26845.67,31.9,35,10,0,402173,563794,0,0,686400,0
243760,Short Term,740,1424240,3 years,Home Mortgage,Debt Consolidation,9672.9,33.3,18,7,0,100301,249238,0,0,686450,0
331980,Short Term,749,1185068,< 1 year,Own Home,Debt Consolidation,9253.38,14,NA,8,0,147687,332068,0,0,686460,0
142472,Short Term,723,633859,9 years,Home Mortgage,Debt Consolidation,9666.25,13.9,NA,8,0,121068,168278,0,0,686470,0
427328,Short Term,7080,1376759,2 years,Own Home,Debt Consolidation,19159.79,24.4,48,12,1,77368,450164,1,0,686480,1
99999999,Long Term,656,2519400,4 years,Home Mortgage,Debt Consolidation,25613.9,15.2,68,13,3,199880,697114,3,0,686490,0
556006,Short Term,691,1344497,10+ years,Rent,Debt Consolidation,25769.51,20.5,78,16,0,415359,798908,0,0,686560,1
189068,Short Term,742,368847,5 years,Rent,Educational Expens,4333.9,14.5,NA,6,0,63726,117876,0,0,686580,0
183392,Short Term,,,2 years,Home Mortgage,Business Loan,19898.89,15.5,29,12,0,114228,351736,0,0,686590,0
222420,Short Term,733,633897,1 year,Rent,Debt Consolidation,6074.87,6,NA,23,0,186333,625350,0,0,686600,0
336336,Short Term,750,949240,1 year,Rent,Debt Consolidation,23572.92,13.5,NA,14,0,379278,1535534,0,0,686620,0
267388,Short Term,750,2597832,< 1 year,Rent,Debt Consolidation,13551.94,28.6,27,7,0,92055,379346,0,0,686640,0
228888,Short Term,,,1 year,Rent,Debt Consolidation,17575.76,7,NA,20,0,204231,457402,0,0,686700,1
449460,Short Term,7030,1086876,2 years,Rent,Debt Consolidation,27443.6,22.4,NA,9,0,413668,593538,0,0,686710,1
108966,Short Term,729,376390,2 years,Rent,Debt Consolidation,4077.59,12.4,NA,7,0,77463,126324,0,0,686720,0
388366,Long Term,,,10+ years,Home Mortgage,Debt Consolidation,12173.68,23.1,NA,8,0,304988,626142,0,0,686730,0
245652,Short Term,738,678110,1 year,Rent,Debt Consolidation,5876.89,11,NA,7,0,217455,352154,0,0,686810,0
218570,Short Term,741,934382,3 years,Home Mortgage,Home Improvements,3433.87,14.6,NA,4,0,145654,251328,0,0,686840,0
517286,Short Term,749,3089970,2 years,Home Mortgage,Debt Consolidation,23612.63,18.3,31,9,0,600685,890560,0,0,686860,0
402732,Short Term,7350,927504,5 years,Home Mortgage,Debt Consolidation,11902.93,11.1,43,11,0,268147,477664,0,0,686870,1
99999999,Short Term,712,1549431,n/a,Rent,Other,27502.31,46.5,33,9,1,187112,300894,1,0,686910,0
